"version_full";"version_major";"date (yyyy-mm-dd)"
"1.5.0_1";"5";"2004-12-25"
"1.5.0_2";"5";"2005-03-16"
"1.5.0_3";"5";"2005-05-03"
"1.5.0_4";"5";"2005-07-04"
"1.5.0_5";"5";"2005-09-18"
"1.5.0_6";"5";"2005-12-07"
"1.5.0_7";"5";"2006-05-29"
"1.5.0_8";"5";"2006-08-13"
"1.5.0_9";"5";"2006-11-12"
"1.5.0_10";"5";"2006-12-22"
"1.5.0_11";"5";"2007-03-08"
"1.5.0_12";"5";"2007-06-11"
"1.5.0_13";"5";"2007-10-05"
"1.5.0_14";"5";""
"1.5.0_15";"5";"2008-03-06"
"1.5.0_16";"5";"2008-07-23"
"1.5.0_17";"5";"2008-12-03"
"1.5.0_18";"5";"2009-03-25"
"1.5.0_19";"5";"2009-05-29"
"1.5.0_20";"5";"2009-08-06"
"1.5.0_21";"5";"2009-09-09"
"1.5.0_22";"5";"2009-11-04"
"1.5.0_23";"5";"2010-01-13"
"1.5.0_24";"5";"2010-04-15"
"1.5.0_25";"5";"2010-07-07"
"1.5.0_26";"5";"2010-10-12"
"1.5.0_27";"5";"2010-12-08"
"1.5.0_28";"5";"2011-02-15"
"1.5.0_29";"5";"2011-03-21"
"1.5.0_30";"5";"2011-06-07"
"1.5.0_31";"5";"2011-08-16"
"1.5.0_32";"5";"2011-10-18"
"1.5.0_33";"5";"2011-12-12"
"1.5.0_34";"5";"2012-02-14"
"1.5.0_35";"5";"2012-04-26"
"1.5.0_36";"5";"2012-06-12"
"1.5.0_38";"5";"2012-08-14"
"1.5.0_39";"5";"2013-02-19"
"1.5.0_40";"5";"2013-02-19"
"1.5.0_41";"5";"2013-03-04"
"1.5.0_45";"5";"2013-04-16"
"1.5.0_51";"5";"2013-06-18"
"1.5.0_55";"5";"2013-10-15"
"1.5.0_61";"5";"2014-01-14"
"1.5.0_65";"5";"2014-04-15"
"1.5.0_71";"5";"2014-07-15"
"1.5.0_75";"5";"2014-10-16"
"1.5.0_81";"5";"2015-01-21"
"1.5.0_85";"5";"2015-04-14"
"1.6.0_1";"6";"2007-05-07"
"1.6.0_2";"6";"2007-07-03"
"1.6.0_3";"6";"2007-10-03"
"1.6.0_4";"6";"2008-01-14"
"1.6.0_5";"6";"2008-03-05"
"1.6.0_6";"6";"2008-04-16"
"1.6.0_7";"6";""
"1.6.0_10";"6";"2008-10-15"
"1.6.0_11";"6";"2008-12-03"
"1.6.0_12";"6";"2008-12-12"
"1.6.0_13";"6";"2009-03-24"
"1.6.0_14";"6";"2009-05-28"
"1.6.0_15";"6";"2009-08-04"
"1.6.0_16";"6";"2009-08-11"
"1.6.0_17";"6";"2009-11-04"
"1.6.0_18";"6";"2010-01-13"
"1.6.0_19";"6";"2010-03-30"
"1.6.0_20";"6";"2010-04-15"
"1.6.0_21";"6";"2010-07-07"
"1.6.0_22";"6";"2010-10-12"
"1.6.0_23";"6";"2010-12-08"
"1.6.0_24";"6";"2011-02-15"
"1.6.0_25";"6";"2011-03-21"
"1.6.0_26";"6";"2011-06-07"
"1.6.0_27";"6";"2011-08-16"
"1.6.0_29";"6";"2011-10-18"
"1.6.0_30";"6";"2011-12-12"
"1.6.0_31";"6";"2012-02-14"
"1.6.0_32";"6";"2012-04-26"
"1.6.0_33";"6";"2012-06-12"
"1.6.0_34";"6";"2012-08-14"
"1.6.0_35";"6";"2012-08-30"
"1.6.0_37";"6";"2012-10-16"
"1.6.0_38";"6";"2012-12-11"
"1.6.0_39";"6";"2013-02-01"
"1.6.0_41";"6";"2013-02-19"
"1.6.0_43";"6";"2013-03-04"
"1.6.0_45";"6";"2013-04-16"
"1.6.0_51";"6";"2013-06-18"
"1.6.0_65";"6";"2013-10-15"
"1.6.0_71";"6";"2014-01-14"
"1.6.0_75";"6";"2014-04-15"
"1.6.0_81";"6";"2014-07-15"
"1.6.0_85";"6";"2014-10-16"
"1.6.0_91";"6";"2015-01-21"
"1.6.0_95";"6";"2015-04-14"
"1.6.0_101";"6";"2015-07-15"
"1.6.0_105";"6";"2015-10-20"
"1.6.0_111";"6";"2016-01-20"
"1.6.0_113";"6";"2016-02-05"
"1.6.0_115";"6";"2016-04-21"
"1.6.0_121";"6";"2016-07-19"
"1.6.0_131";"6";"2016-10-18"
"1.6.0_141";"6";"2017-01-17"
"1.6.0_151";"6";"2017-04-18"
"1.6.0_161";"6";"2017-07-18"
"1.6.0_171";"6";"2017-10-20"
"1.6.0_181";"6";"2018-01-16"
"1.6.0_191";"6";"2018-04-17"
"1.6.0_201";"6";"2018-07-17"
"1.6.0_211";"6";"2018-10-18"
"1.7.0_1";"7";"2011-10-18"
"1.7.0_2";"7";"2011-12-12"
"1.7.0_3";"7";"2012-02-14"
"1.7.0_4";"7";"2012-04-26"
"1.7.0_5";"7";"2012-06-12"
"1.7.0_6";"7";"2012-08-14"
"1.7.0_7";"7";"2012-08-30"
"1.7.0_9";"7";"2012-10-16"
"1.7.0_10";"7";"2012-12-11"
"1.7.0_11";"7";"2013-01-13"
"1.7.0_13";"7";"2013-02-01"
"1.7.0_15";"7";"2013-02-19"
"1.7.0_17";"7";"2013-03-04"
"1.7.0_21";"7";"2013-04-16"
"1.7.0_25";"7";"2013-06-18"
"1.7.0_40";"7";"2013-09-10"
"1.7.0_45";"7";"2013-10-15"
"1.7.0_51";"7";"2014-01-14"
"1.7.0_55";"7";"2014-04-15"
"1.7.0_60";"7";"2014-05-28"
"1.7.0_65";"7";"2014-07-15"
"1.7.0_67";"7";"2014-08-04"
"1.7.0_71";"7";"2014-10-14"
"1.7.0_72";"7";"2014-10-14"
"1.7.0_75";"7";"2015-01-20"
"1.7.0_76";"7";"2015-01-20"
"1.7.0_79";"7";"2015-04-14"
"1.7.0_80";"7";"2015-04-14"
"1.7.0_85";"7";"2015-07-15"
"1.7.0_91";"7";"2015-10-20"
"1.7.0_95";"7";"2016-01-19"
"1.7.0_97";"7";"2016-02-05"
"1.7.0_99";"7";"2016-03-23"
"1.7.0_101";"7";"2016-04-18"
"1.7.0_111";"7";"2016-07-19"
"1.7.0_121";"7";"2016-10-18"
"1.7.0_131";"7";"2017-01-17"
"1.7.0_141";"7";"2017-04-18"
"1.7.0_151";"7";"2017-07-18"
"1.7.0_161";"7";"2017-10-20"
"1.7.0_171";"7";"2018-01-16"
"1.7.0_181";"7";"2018-04-17"
"1.7.0_191";"7";"2018-07-17"
"1.7.0_201";"7";"2018-10-18"
"1.7.0_211";"7";"2019-01-15"
"1.7.0_221";"7";"2019-04-16"
"1.7.0_231";"7";"2019-07-16"
"1.7.0_241";"7";"2019-10-15"
"1.7.0_251";"7";"2020-01-14"
"1.7.0_261";"7";"2020-04-14"
"1.7.0_271";"7";"2020-07-14"
"1.7.0_281";"7";"2020-10-20"
"1.7.0_291";"7";"2021-01-19"
"1.7.0_301";"7";"2021-04-12"
"1.7.0_311";"7";"2021-07-20"
"1.7.0_321";"7";"2021-10-19"
"1.7.0_331";"7";"2022-01-18"
"1.8.0_";"8";"2023-04-18"
"1.8.0_5";"8";"2014-04-15"
"1.8.0_11";"8";"2014-07-15"
"1.8.0_20";"8";"2014-08-19"
"1.8.0_20.01";"8";"2014-09-07"
"1.8.0_25";"8";"2014-10-14"
"1.8.0_25.01";"8";"2014-10-23"
"1.8.0_25.02";"8";"2014-10-24"
"1.8.0_25.03";"8";"2014-11-10"
"1.8.0_31";"8";"2015-01-19"
"1.8.0_40";"8";"2015-03-03"
"1.8.0_40.20150325";"8";"2015-03-28"
"1.8.0_40.20150402";"8";"2015-04-14"
"1.8.0_45";"8";"2015-04-14"
"1.8.0_51";"8";"2015-07-14"
"1.8.0_60";"8";"2015-08-18"
"1.8.0_60.20150902";"8";"2015-09-02"
"1.8.0_65";"8";"2015-10-20"
"1.8.0_66";"8";"2015-11-16"
"1.8.0_71";"8";"2016-01-19"
"1.8.0_72";"8";"2016-01-19"
"1.8.0_73";"8";"2016-02-03"
"1.8.0_74";"8";"2016-02-03"
"1.8.0_77";"8";"2016-03-23"
"1.8.0_91";"8";"2016-04-19"
"1.8.0_92";"8";"2016-04-19"
"1.8.0_101";"8";"2016-07-19"
"1.8.0_101.20160917";"8";"2016-09-18"
"1.8.0_102";"8";"2016-07-19"
"1.8.0_111";"8";"2016-10-18"
"1.8.0_112";"8";"2016-10-18"
"1.8.0_121";"8";"2017-01-17"
"1.8.0_131";"8";"2017-04-18"
"1.8.0_141";"8";"2017-07-18"
"1.8.0_144";"8";"2017-07-26"
"1.8.0_151";"8";"2017-10-17"
"1.8.0_152";"8";"2017-10-17"
"1.8.0_161";"8";"2018-01-16"
"1.8.0_162";"8";"2018-01-16"
"1.8.0_171";"8";"2018-04-17"
"1.8.0_172";"8";"2018-04-17"
"1.8.0_181";"8";"2018-07-17"
"1.8.0_191";"8";"2018-10-16"
"1.8.0_191.20181114";"8";"2018-11-14"
"1.8.0_192";"8";"2018-10-16"
"1.8.0_201";"8";"2019-01-15"
"1.8.0_202";"8";"2019-01-15"
"1.8.0_211";"8";"2019-04-16"
"1.8.0_212";"8";"2019-04-16"
"1.8.0_221";"8";"2019-07-16"
"1.8.0_231";"8";"2019-10-15"
"1.8.0_241";"8";"2020-01-14"
"1.8.0_251";"8";"2020-04-14"
"1.8.0_261";"8";"2020-07-14"
"1.8.0_271";"8";"2020-10-20"
"1.8.0_281";"8";"2021-01-19"
"1.8.0_291";"8";"2021-04-20"
"1.8.0_301";"8";"2021-07-20"
"1.8.0_311";"8";"2021-10-19"
"1.8.0_321";"8";"2022-01-18"
"1.8.0_331";"8";"2022-04-19"
"1.8.0_333";"8";"2022-05-02"
"1.8.0_341";"8";"2022-07-19"
"1.8.0_351";"8";"2022-10-18"
"1.8.0_361";"8";"2023-01-31"
"1.8.0_371";"8";"2023-05-02"
"1.8.0_381";"8";"2023-07-18"
"1.8.0_391";"8";"2023-10-19"
"1.8.0_401";"8";"2024-01-22"
"1.8.0_411";"8";"2024-04-22"
"1.8.0_421";"8";"2024-07-26"
"1.8.0_431";"8";"2024-10-15"
"1.9.0_1";"9";"2017-10-17"
"1.9.0_4";"9";"2018-01-16"
"1.10.0_1";"10";"2018-04-17"
"1.10.0_2";"10";"2018-07-17"
"1.11.0_1";"11";"2018-10-16"
"1.11.0_2";"11";"2019-01-15"
"1.11.0_2.01";"11";"2019-03-04"
"1.11.0_2.91";"11";"2019-03-12"
"1.11.0_3";"11";"2019-04-16"
"1.11.0_3.71";"11";"2019-04-18"
"1.11.0_4";"11";"2019-07-16"
"1.11.0_4.11";"11";"2019-08-15"
"1.11.0_4.111";"11";"2019-10-14"
"1.11.0_5";"11";"2019-10-15"
"1.11.0_5.10";"11";"2019-10-18"
"1.11.0_6";"11";"2020-01-14"
"1.11.0_6.1";"11";"2020-03-05"
"1.11.0_6.10";"11";"2020-01-22"
"1.11.0_7";"11";"2020-04-14"
"1.11.0_7.10";"11";"2020-04-15"
"1.11.0_8";"11";"2020-07-14"
"1.11.0_8.10";"11";"2020-07-15"
"1.11.0_9";"11";"2020-10-20"
"1.11.0_9.11";"11";"2020-10-22"
"1.11.0_9.112";"11";"2020-11-02"
"1.11.0_9.121";"11";"2020-11-19"
"1.11.0_10";"11";"2021-01-19"
"1.11.0_10.9";"11";"2021-01-20"
"1.11.0_11";"11";"2021-04-20"
"1.11.0_11.9";"11";"2021-04-21"
"1.11.0_12";"11";"2021-07-20"
"1.11.0_12.7";"11";"2021-07-21"
"1.11.0_13";"11";"2021-10-19"
"1.11.0_13.8";"11";"2021-10-26"
"1.11.0_14";"11";"2022-01-18"
"1.11.0_14.1";"11";"2022-03-17"
"1.11.0_14.9";"11";"2022-01-19"
"1.11.0_14.10";"11";"2022-03-09"
"1.11.0_15";"11";"2022-04-19"
"1.11.0_16";"11";"2022-07-19"
"1.11.0_16.1";"11";"2022-08-18"
"1.11.0_16.9";"11";"2022-09-13"
"1.11.0_16.20220913";"11";"2022-09-13"
"1.11.0_17";"11";"2022-10-18"
"1.11.0_18";"11";"2023-01-18"
"1.11.0_19";"11";"2023-04-20"
"1.11.0_20";"11";"2023-07-27"
"1.11.0_21";"11";"2023-10-22"
"1.11.0_22";"11";"2024-01-16"
"1.11.0_22.71";"11";"2024-01-17"
"1.11.0_23.91";"11";"2024-04-16"
"1.11.0_24.81";"11";"2024-07-16"
"1.11.0_25.91";"11";"2024-10-16"
"1.12.0_1";"12";"2019-04-16"
"1.12.0_2";"12";"2019-07-16"
"1.13.0_1";"13";"2019-10-15"
"1.13.0_2";"13";"2020-01-14"
"1.14.0_1";"14";"2020-04-14"
"1.14.0_2";"14";"2020-07-14"
"1.15.0_1";"15";"2020-10-20"
"1.15.0_2";"15";"2021-01-19"
"1.16.0_1";"16";"2021-04-20"
"1.16.0_2";"16";"2021-07-20"
"1.17.0_0";"17";"2021-09-17"
"1.17.0_1";"17";"2021-10-29"
"1.17.0_2";"17";"2022-01-19"
"1.17.0_3";"17";"2022-04-19"
"1.17.0_3.1";"17";"2022-05-02"
"1.17.0_4";"17";"2022-07-19"
"1.17.0_4.1";"17";"2022-08-18"
"1.17.0_5";"17";"2022-10-18"
"1.17.0_6";"17";"2023-01-17"
"1.17.0_7";"17";"2023-04-18"
"1.17.0_8";"17";"2023-07-18"
"1.17.0_9";"17";"2023-10-17"
"1.17.0_10";"17";"2024-01-16"
"1.18.0_1";"18";"2022-04-19"
"1.18.0_1.1";"18";"2022-05-06"
"1.18.0_2";"18";"2022-07-19"
"1.18.0_2.1";"18";"2022-08-18"
"1.19.0_1";"19";"?"
"1.19.0_2";"19";"?"
"1.20.0_1";"20";"2023-04-18"
"1.20.0_2";"20";"2023-07-18"
"1.21.0_1";"21";"2023-10-17"
"1.21.0_2";"21";"2024-01-16"
"1.21.0_3";"21";"2024-01-16"
